text,source
Then the German's voice came up the stairs.,mnli
Frank was trying to get a new driver's license. The lady at the DMV told him his license was suspended. He left disappointed and headed home.,roc
But there are just two small entries that refer to the three of you.,mnli
"Soon as we see how Johnny's doin', we'll head south.",mnli
"James had always wanted a tree. But since he lived in an apartment, he didn't have space. After working hard, he purchased a big house.",roc
"Yes, we heard that Mrs. Inglethorp wrote to you last night.",mnli
My grandpa smoked since he was thirteen. When he was seventy two he developed throat cancer. He fought very hard and for a long time to beat it.,roc
"The prospect of his aid revived her mercurial spirits, and she next inquired for Julius Hersheimmer.",mnli
and was nothing but dust falling toward the carpet.,mnli
"I shall not ask her to tell me anything, he said quietly.",mnli
"Anna had never liked tea. But as an exchange student in England, she knew it was popular. She decided to give it a chance.",roc
"In Dave's chest, the salamander began purring again, and he drifted back into his coma.",mnli
Nino was sixteen and going to a club with his college buddies. He showed the bounder at the door his fake ID.,roc
Selana's uncle had been one of the dead.,mnli
Jane was hungry one night. She was half asleep. She noticed an old slice of cake in the refrigerator. Jane tasted it and it was stale.,roc
"Sandy and her family live right next to the river. During a powerful storm, the river rose extremely high.",roc
Leo wished he could play tennis every day. But it was inconvenient to drive to a tennis court so often.,roc
"Dale really like heavy metal, but Stacey does not. Dale buys Stacey some heavy metal albums to listen to. After listening to them, Stacey decides she likes heavy metal too.",roc
Sam was new at the office. He was asked to fax some papers. The papers never arrived. When asked why Sam pointed to the shredder.,roc
"In his other he held a flintlock pistol, the barrel still smoking.",mnli
"Thirteen year old Patrick hated staying with his aunt. She would always find yard work for him to do, even on weekends. When his mother dropped him off, Patrick frowned.",roc
Randy was the best looking guy in his town. He had gotten almost every girl he had ever wanted. That was until Anna walked into the bar.,roc
"Ah, yes, tell him to come in, of course.",mnli
My cat was meowing at the window. I walked over to the window to see what the matter was. He was meowing at another cat that was outside the window.,roc
"Sir Ernest Heavywether's speech in opening the case for the defence was not a long one, but it was backed by the full force of his emphatic manner.",mnli
The Kal put her down and a strange look pulled the corners of his mouth.,mnli
"Such odd times, that the one who slept, had it the worst.",mnli
Sondra wanted a new cell phone like everyone else. Her parents told her they could not afford it. Sondra worked any jobs she could find to save the money.,roc
"They went back and forth, Kal swinging, punching, kicking, biting, and butting with his forehead.",mnli
"My apartment was horribly cramped, which was exactly how I wanted it.",mnli
"So, I cried, a light breaking in upon me, ""it was John who quarrelled with his mother that afternoon?""",mnli
He is twice the unarmed fighter I am with twice the strength.,mnli
The city flew the flag at half mast. People called to ask why. The city put the information on it's web page. People stopped calling to ask why.,roc
White stepped out of the dining car with a gun to my head.,mnli
He located one man who seemed a little brighter than the others.,mnli
